name,unit_info,price,usual_price,discount,description,url,image,categories,store
Vanille muffin,Per stuk,79,79,null,Muffin met vanillesmaak,"https://www.dirk.nl/boodschappen/brood-beleg-koek/afgebakken-brood-snacks/vanille-muffin/444
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/2692_1_121113_638045461252154841.png?width=500&height=500&mode=crop,Brood beleg koek/Afgebakken brood snacks/Vanille muffin,Dirk
Pranutti Hazelnootpasta,750 g,2.99,2.99,null,hazelnootpasta,"https://www.dirk.nl/boodschappen/brood-beleg-koek/broodbeleg/pranutti-hazelnootpasta/446
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/1059_1_121332_637171821245199048.png?width=500&height=500&mode=crop,Brood beleg koek/Broodbeleg/Pranutti hazelnootpasta,Dirk
Calvé Dressing honing appel,70 ml,99,99,null,Saladedressing,"https://www.dirk.nl/boodschappen/voorraadkast/oli%C3%ABn-sauzen-mixen/calv%C3%A9-dressing-honing-appel/461
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/1137_1_122187_637181469243323015.png?width=500&height=500&mode=crop,Voorraadkast/Oliën sauzen mixen/Calvé dressing honing appel,Dirk
Rexona Deospray men cobalt,150 ml,4.49,4.49,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/kind-drogisterij/deodorant/rexona-deospray-men-cobalt/464
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/113881_1_122251_637865037622057539.png?width=500&height=500&mode=crop,Kind drogisterij/Deodorant/Rexona deospray men cobalt,Dirk
Vanka Ketjap manis,500 ml,2.09,2.09,null,ketjap,"https://www.dirk.nl/boodschappen/voorraadkast/internationale-keuken/vanka-ketjap-manis/475
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/1680_1_122607_637182351258187930.png?width=500&height=500&mode=crop,Voorraadkast/Internationale keuken/Vanka ketjap manis,Dirk
Almhof Roomyoghurt walnoot & Griekse honing,500 g,1.49,1.99,0.5,Roomyoghurt met walnoot-honingbereiding,"https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/almhof-roomyoghurt-walnoot-griekse-honing/489
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/31581_1_123108_638046216068787787.png?width=500&height=500&mode=crop,Zuivel kaas/Yoghurt kwark pap/Almhof roomyoghurt walnoot griekse honing,Dirk
Fisherman's Friend Salmiak suikervrij 3 pack,75 g,2.35,2.35,null,"Lozenges met sterke Salmiak smaak, gezoet met zoetstoffen","https://www.dirk.nl/boodschappen/snacks-snoep/mondverfrissers-keelpastilles/fisherman-s-friend-salmiak-suikervrij-3-pack/490
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/146961_1_123148_638097210099429975.png?width=500&height=500&mode=crop,Snacks snoep/Mondverfrissers keelpastilles/Fisherman s friend salmiak suikervrij 3 pack,Dirk
Fisherman's Friend Original suikervrij 3 pack,75 g,2.55,2.55,null,"Lozenges met extra sterke Menthol smaak, gezoet met zoetstoffen.","https://www.dirk.nl/boodschappen/snacks-snoep/mondverfrissers-keelpastilles/fisherman-s-friend-original-suikervrij-3-pack/491
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/146962_1_123150_638097210106214321.png?width=500&height=500&mode=crop,Snacks snoep/Mondverfrissers keelpastilles/Fisherman s friend original suikervrij 3 pack,Dirk
Best Bier krat,24 x 300 ml,7.99,7.99,null,Bier.,"https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/bier/best-bier-krat/500
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/276_1_12370_637811397699595055.png?width=100&height=100&mode=crop,Dranken sap koffie thee/Bier/Best bier krat,Dirk
Weight Care 12-uurtje pinda - nougat 2 stuks,116 g,2.09,2.09,null,Maaltijdvervangend product voor gewichtsbeheersing.,"https://www.dirk.nl/boodschappen/voorraadkast/speciale-voeding/weight-care-12-uurtje-pinda-nougat-2-stuks/502
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/61490_1_123854_637805106711756795.png?width=500&height=500&mode=crop,Voorraadkast/Speciale voeding/Weight care 12 uurtje pinda nougat 2 stuks,Dirk
Weight Care 12-uurtje choco - crisp 2 stuks,116 g,2.09,2.09,null,"Maaltijdvervangend product voor gewichtsbeheersing, reep omhuld met melkchocolade met vulling van cacao en granenbolletjes.","https://www.dirk.nl/boodschappen/voorraadkast/speciale-voeding/weight-care-12-uurtje-choco-crisp-2-stuks/503
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/84021_1_123861_637692372027291916.png?width=500&height=500&mode=crop,Voorraadkast/Speciale voeding/Weight care 12 uurtje choco crisp 2 stuks,Dirk
Nestlé Kwarkolino perzik 6+ maanden,400 g,2.95,2.95,null,Babyvoeding op basis van melk en perzikpuree,"https://www.dirk.nl/boodschappen/kind-drogisterij/babyvoeding-vanaf-6-maanden/nestl%C3%A9-kwarkolino-perzik-6-maanden/504
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/117781_1_124038_637889850069499278.png?width=500&height=500&mode=crop,Kind drogisterij/Babyvoeding vanaf 6 maanden/Nestlé kwarkolino perzik 6 maanden,Dirk
"Komo Vuilniszakken met trekband, 15 stuks a 60 liter",15 stuks,1.89,1.89,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/huishoud-huisdieren/(vuilnis)zakken-folies/komo-vuilniszakken-met-trekband-15-stuks-a-60-liter/508
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/2236_1_124144_637182351264750676.png?width=500&height=500&mode=crop,Huishoud huisdieren/(vuilnis)zakken folies/Komo vuilniszakken met trekband 15 stuks a 60 liter,Dirk
Voogd Thuisbakmix meergranen/zadenbrood,1 kg,1.95,1.95,null,Meergranen/zadenbrood met gist,"https://www.dirk.nl/boodschappen/voorraadkast/bakproducten-suiker/voogd-thuisbakmix-meergranen-zadenbrood/509
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/158201_1_124168_638168328049857018.png?width=500&height=500&mode=crop,Voorraadkast/Bakproducten suiker/Voogd thuisbakmix meergranen zadenbrood,Dirk
Voogd Thuisbakmix zonnebrood,1 kg,2.09,2.09,null,zonnebrood met gist,"https://www.dirk.nl/boodschappen/voorraadkast/bakproducten-suiker/voogd-thuisbakmix-zonnebrood/510
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/13290_1_124169_637321554147480298.png?width=500&height=500&mode=crop,Voorraadkast/Bakproducten suiker/Voogd thuisbakmix zonnebrood,Dirk
