name,price,usual_price,discount,description,url,image,categories,store
Knorr Croutons peterselie,1.09,1.09,null,"Verrassend lekker en knapperig van smaak Lekker in Knorr Champignon Crèmesoep Zonder toegevoegde smaakversterkers, kunstmatige kleurstoffen of conserveermiddelen Vegan","https://www.ah.nl/producten/product/wi2251/knorr-croutons-peterselie
",https://static.ah.nl/dam/product/AHI_43545239373939333435?revLabel=2&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Soepen, sauzen, kruiden, olie/Soepen/Soepverrijking/Soepcroutons",Albert Heijn
Van Gilse Mini suikerklontjes,1.49,1.49,null,Van Gilse Mini klontje is 100% natuurlijk Gemaakt van suikerbieten van Nederlandse bodem. Vegan,"https://www.ah.nl/producten/product/wi2348/van-gilse-mini-suikerklontjes
",https://static.ah.nl/dam/product/AHI_43545239353732343033?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Pasta, rijst en wereldkeuken/Bakproducten/Suiker/Suiker en zoetstof (staafjes)/Suikerklontjes en staafjes",Albert Heijn
Melitta Filterzakjes original 1x4 bruin,2.75,2.75,null,Bevat 3 aromazones voor een vol koffiearoma ongeacht het aantal kopjes Nog meer scheurvastheid dankzij de dubbele naad,"https://www.ah.nl/producten/product/wi2375/melitta-filterzakjes-original-1x4-bruin
",https://static.ah.nl/dam/product/AHI_43545239373939313130?revLabel=2&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Frisdrank, sappen, koffie, thee/Koffie/Koffieverrijkers/Koffiefilters, suiker/Koffiefilter en overige/Koffiefilters",Albert Heijn
Pickwick Ceylon zwarte thee meerkops,1.99,1.99,null,Theesoort: zwarte thee Een geurige en aromatische thee Fris en licht kruidig van smaak Vegan,"https://www.ah.nl/producten/product/wi2379/pickwick-ceylon-zwarte-thee-meerkops
",https://static.ah.nl/dam/product/AHI_43545239373932323437?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Frisdrank, sappen, koffie, thee/Thee/Zwarte thee/Zwarte thee meerkops",Albert Heijn
Bonne Maman Abrikozen confiture,3.29,3.29,null,"Traditionele confiture, geproduceerd in Frankrijk Vegan","https://www.ah.nl/producten/product/wi2382/bonne-maman-abrikozen-confiture
",https://static.ah.nl/dam/product/AHI_43545239353639323337?revLabel=22&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Ontbijtgranen en beleg/Zoet broodbeleg/Jam/Abrikozenjam,Albert Heijn
Bonne Maman Pruimen confiture,3.19,3.19,null,"Traditionele confiture, geproduceerd in Frankrijk Vegan","https://www.ah.nl/producten/product/wi2383/bonne-maman-pruimen-confiture
",https://static.ah.nl/dam/product/AHI_43545239353639323231?revLabel=23&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Ontbijtgranen en beleg/Zoet broodbeleg/Jam/Pruimenjam,Albert Heijn
Bonne Maman Aardbeien confiture,3.29,3.29,null,"Traditionele confiture, geproduceerd in Frankrijk Vegan","https://www.ah.nl/producten/product/wi2390/bonne-maman-aardbeien-confiture
",https://static.ah.nl/dam/product/AHI_43545239353639313731?revLabel=5&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Ontbijtgranen en beleg/Zoet broodbeleg/Jam/Aardbeienjam,Albert Heijn
Bonne Maman Kersen confiture,3.29,3.29,null,"Traditionele confiture, geproduceerd in Frankrijk Vegan","https://www.ah.nl/producten/product/wi2391/bonne-maman-kersen-confiture
",https://static.ah.nl/dam/product/AHI_43545239353639313437?revLabel=7&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Ontbijtgranen en beleg/Zoet broodbeleg/Jam/Kersenjam,Albert Heijn
Nutella Hazelnootpasta,3.49,3.49,null,s Werelds nummer 1 hazelnootpasta Meer dan 50 jaar ambachtelijke kennis Vega,"https://www.ah.nl/producten/product/wi2406/nutella-hazelnootpasta
",https://static.ah.nl/dam/product/AHI_43545239383137333730?revLabel=11&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Ontbijtgranen en beleg/Zoet broodbeleg/Hazelnoot- en chocoladepasta/Hazelnootpasta,Albert Heijn
Kellogg's Smacks,3.65,3.65,null,Smacks zijn gepofte tarwekorrels (rijk aan vitaminen en ijzer) waar honing aan toegevoegd is. In een portie smacks zitten evenveel voedingsvezels als in een gewone boterham. Lekkere gekarameliseerde gepofte tarwekorrels Rijk aan koolhydraten Rijk aan vitaminen b en vitamine d Rijk aan ijzer Vega,"https://www.ah.nl/producten/product/wi2430/kellogg-s-smacks
",https://static.ah.nl/dam/product/AHI_43545239383335333234?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Ontbijtgranen en beleg/Ontbijtgranen/Kinder ontbijtgranen,Albert Heijn
